Optimal path found:
Node id: 240949599  | Distance: 0.000000  | Name: Plaça Santa Maria
Node id: 240944785  | Distance: 26.926933  | Name: Plaça Santa Maria
Node id: 240936347  | Distance: 40.716571  | Name: Plaça Santa Maria
Node id: 240936348  | Distance: 82.863623  | Name: Carrer Nicolau de Sant Climent
Node id: 30647274  | Distance: 101.262493  | Name: Plaça Jacint Reventós
Node id: 240939090  | Distance: 106.755711  | Name: Plaça Jacint Reventós
Node id: 30647313  | Distance: 122.532138  | Name: Carrer Manresa
Node id: 240934220  | Distance: 147.014331  | Name: Carrer de l&apos;Argenteria
Node id: 240934857  | Distance: 172.166169  | Name: Carrer de l&apos;Argenteria
Node id: 240936350  | Distance: 212.190910  | Name: Carrer Vigatans
Node id: 240936351  | Distance: 237.406770  | Name: Carrer de l&apos;Argenteria
Node id: 240936353  | Distance: 254.873192  | Name: Via Laietana
Node id: 30227495  | Distance: 266.490558  | Name: Via Laietana
Node id: 209110229  | Distance: 289.879555  | Name: Via Laietana
Node id: 209110228  | Distance: 323.972728  | Name: Plaza del Angel
Node id: 209110227  | Distance: 362.148398  | Name: Carrer del Veguer
Node id: 30297907  | Distance: 384.687350  | Name: Carrer de la Llibreteria
Node id: 30646194  | Distance: 424.648509  | Name: Carrer de la Llibreteria
Node id: 209057499  | Distance: 463.042816  | Name: Carrer de la Llibreteria
Node id: 209134967  | Distance: 474.682582  | Name: Carrer del Bisbe
Node id: 209137015  | Distance: 518.585534  | Name: Carrer Sant Honorat
Node id: 209057497  | Distance: 525.961673  | Name: Carrer del Call
Node id: 30243957  | Distance: 567.982866  | Name: Carrer del Call
Node id: 209132794  | Distance: 588.659701  | Name: Carrer del Call
Node id: 209132796  | Distance: 615.164405  | Name: Carrer de Sant Ramon del Call
Node id: 1400545466  | Distance: 620.700401  | Name: Carrer del Call
Node id: 209132797  | Distance: 649.138689  | Name: Carrer del Call
Node id: 30252199  | Distance: 654.737906  | Name: Carrer de la Boqueria
Node id: 30252198  | Distance: 676.439231  | Name: Carrer de la Boqueria
Node id: 30252197  | Distance: 714.954261  | Name: Carrer de la Boqueria
Node id: 30252196  | Distance: 734.967123  | Name: Carrer de la Boqueria
Node id: 30252195  | Distance: 778.233098  | Name: Carrer de la Boqueria
Node id: 30252194  | Distance: 809.284312  | Name: Carrer de la Boqueria
Node id: 194551073  | Distance: 832.266325  | Name: Carrer de la Boqueria
Node id: 1400723041  | Distance: 840.724764  | Name: -
Node id: 1400723040  | Distance: 842.879388  | Name: Carrer Cardenal Casañas
Node id: 1400723038  | Distance: 855.171991  | Name: -
Node id: 1400723037  | Distance: 858.140866  | Name: La Rambla
Node id: 546558623  | Distance: 860.878164  | Name: La Rambla
Node id: 546558620  | Distance: 868.598296  | Name: La Rambla
Node id: 546558621  | Distance: 875.065113  | Name: -
Node id: 544807066  | Distance: 876.506612  | Name: La Rambla
Node id: 544807062  | Distance: 879.325226  | Name: La Rambla
Node id: 1400723031  | Distance: 882.829465  | Name: -
Node id: 1400723029  | Distance: 887.408116  | Name: -
Node id: 1400723032  | Distance: 890.672019  | Name: Carrer Hospital
Node id: 30227477  | Distance: 941.791675  | Name: Carrer Hospital
Node id: 30227476  | Distance: 953.946328  | Name: Carrer Hospital
Node id: 30227475  | Distance: 963.137324  | Name: Carrer Hospital
Node id: 442537842  | Distance: 981.514189  | Name: Carrer Hospital
Node id: 30227474  | Distance: 984.674230  | Name: Carrer Hospital
Node id: 192551166  | Distance: 988.910940  | Name: Carrer Hospital
Node id: 30227473  | Distance: 999.418888  | Name: Carrer Hospital
Node id: 30227472  | Distance: 1031.982652  | Name: Carrer Hospital
Node id: 192082712  | Distance: 1071.440339  | Name: Carrer Hospital
Node id: 432592964  | Distance: 1083.684340  | Name: Carrer Hospital
Node id: 30227035  | Distance: 1087.022287  | Name: Carrer Hospital
Node id: 1514098857  | Distance: 1126.168558  | Name: Carrer Hospital
Node id: 30227469  | Distance: 1143.372419  | Name: Carrer Hospital
Node id: 30227468  | Distance: 1186.715734  | Name: Carrer Hospital
Node id: 30227467  | Distance: 1235.037603  | Name: Carrer Hospital
Node id: 30227466  | Distance: 1263.507493  | Name: Carrer Hospital
